AccountAge,MonthlyCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,CustomerID,Churn,TotalCharges_log
42,11.32195032980162,Basic,Electronic check,Yes,Movies,Yes,Tablet,0.3868523189909584,24.59336128901439,25,Comedy,7,Female,15,No,LOHRYYC9E8,0,6.166513711232312
95,12.8109146006735,Standard,Electronic check,Yes,TV Shows,No,Mobile,37.122999911467,102.86079509716252,21,Comedy,3,Male,8,No,RIH7RFEZCS,0,7.104995732757061
6,10.400705500593958,Standard,Credit card,Yes,TV Shows,No,Tablet,30.7169444023015,10.51241512260625,29,Fantasy,4,Male,14,No,JB5J8X2UY1,1,4.528108818008513
54,17.917818962876396,Basic,,Yes,Movies,No,Mobile,2.4953729601821766,45.24683449226995,45,Drama,3,Male,12,No,Z4GZJIB90P,0,6.875812728584307
27,11.00506783937546,Basic,Mailed check,No,TV Shows,No,Mobile,39.93691005346959,94.31095420850131,44,Comedy,4,Female,18,No,B3BDJTW0L9,0,5.829113967677472
71,11.495290375510036,Premium,Credit card,No,Movies,Yes,Computer,7.310172114483848,123.28079409280006,30,Comedy,6,Female,16,Yes,5E4TQK5OVX,0,6.708434515432347
69,17.145910434759166,Basic,,No,Movies,Yes,Mobile,19.008899942021955,86.12255889350608,35,Sci-Fi,6,Female,5,No,8VFNZ1M1I9,1,7.07671109420753
76,17.46187534634668,Premium,Electronic check,No,Movies,Yes,Mobile,24.429413494384104,137.5578744789226,32,Fantasy,9,Female,11,Yes,THKWUHOGUL,0,7.1915065306123225
8,12.328261877946224,Premium,Electronic check,No,Both,Yes,Computer,15.488912506556066,137.55294155226025,16,Fantasy,3,Female,2,No,IGZ39O1ROC,0,6.572355436550311
26,19.69926162787429,Premium,Credit card,Yes,Both,Yes,Mobile,2.1217624569231868,164.0736426680405,44,Drama,4,Male,16,Yes,JHTQYVGRR4,1,6.24062822425678
102,18.991125902794504,Premium,,No,Movies,Yes,Mobile,38.91923861703344,5.028411809068291,29,Comedy,6,Male,19,Yes,W636FZ4VNV,1,7.578546750359466
101,12.303269813600757,Standard,Electronic check,No,Both,No,Computer,16.06235631667653,74.34797146927649,11,Drama,2,Female,12,Yes,CAS3XBFUJG,0,6.461910355512105
83,9.270358698753164,Standard,Electronic check,No,Movies,Yes,Tablet,10.008655029706922,25.531249352094232,32,Action,9,Male,17,No,Y66SW76TPC,1,6.646961484276661
10,8.078494236284286,Standard,Mailed check,No,TV Shows,No,Mobile,29.184743436936618,155.7927759665253,0,Fantasy,2,Female,2,No,BEREY4ZEQN,0,6.185100289819325
8,5.72871245000111,Standard,Credit card,No,Movies,Yes,Computer,39.391883816119766,66.40771735757477,38,Drama,0,Female,18,No,ORSECJMYNH,0,3.846517608483629
6,13.765035665546437,Premium,Electronic check,Yes,Both,Yes,Mobile,7.054925488966616,45.614267199032,22,Action,1,Female,7,No,HI8VKLPO25,0,6.776233007861954
2,10.52298542655473,Standard,Credit card,No,TV Shows,No,Tablet,39.36300166387026,55.83542583110676,43,Comedy,4,Male,6,No,6RWHGUCAB4,0,2.811630808258021
83,16.263146505136994,Premium,Bank transfer,No,TV Shows,No,Mobile,6.3726074194387925,128.5922697932727,23,Sci-Fi,7,Male,13,Yes,7CC943AY0R,0,7.208482758824779
23,13.95714485592174,Premium,,Yes,Both,No,Tablet,13.16752730588239,80.1188619906361,0,Comedy,8,Male,1,No,Y7COZUAXRR,0,5.774596052896178
23,12.219893055666882,Standard,,Yes,Both,No,Tablet,19.630860220030947,64.04791230426866,27,Action,9,Female,23,No,7O0U49OF9M,0,4.985215669674845
